,Name,Group,Entity_ID
45,Achatina,Invertebrates,Achatina_Character_BP_C
46,Allosaurus,Dinosaurs,Allo_Character_BP_C
62,Anglerfish,Fish,Angler_Character_BP_C
63,Ankylosaurus,Dinosaurs,Ankylo_Character_BP_C
64,Araneo,Invertebrates,SpiderS_Character_BP_C
65,Archaeopteryx,Birds,Archa_Character_BP_C
66,Argentavis,Birds,Argent_Character_BP_C
67,Arthropluera,Invertebrates,Arthro_Character_BP_C
71,Baryonyx,Dinosaurs,Baryonyx_Character_BP_C
72,Basilisk,Fantasy,Basilisk_Character_BP_C
73,Basilosaurus,Mammals,Basilosaurus_Character_BP_C
74,Beelzebufo,Amphibians,Toad_Character_BP_C
77,Brontosaurus,Dinosaurs,Sauropod_Character_BP_C
88,Bulbdog,Fantasy,LanternPug_Character_BP_C
91,Carbonemys,Reptiles,Turtle_Character_BP_C
92,Carnotaurus,Dinosaurs,Carno_Character_BP_C
93,Castoroides,Mammals,Beaver_Character_BP_C
94,Chalicotherium,Mammals,Chalico_Character_BP_C
96,Coelacanth,Fish,Coel_Character_BP_C
98,Compy,Dinosaurs,Compy_Character_BP_C
116,Daeodon,Mammals,Daeodon_Character_BP_C
123,Desert Titan,Titans,DesertKaiju_Character_BP_C
125,Dilophosaur,Dinosaurs,Dilo_Character_BP_C
126,Dimetrodon,Synapsids,Dimetro_Character_BP_C
127,Dimorphodon,Reptiles,Dimorph_Character_BP_C
128,Diplocaulus,Amphibians,Diplocaulus_Character_BP_C
129,Diplodocus,Dinosaurs,Diplodocus_Character_BP_C
130,Dire Polar Bear,Mammals,Polar_Bear_C
131,Direbear,Mammals,Direbear_Character_BP_C
133,Direwolf,Mammals,Direwolf_Character_BP_C
136,Dodo,Birds,Dodo_Character_BP_C
139,Doedicurus,Mammals,Doed_Character_BP_C
151,Dung Beetle,Invertebrates,DungBeetle_Character_BP_C
152,Dunkleosteus,Fish,Dunkle_Character_BP_C
153,Electrophorus,Fish,Eel_Character_BP_C
155,Enforcer,Mechanical,Enforcer_Character_BP_C
158,Equus,Mammals,Equus_Character_BP_C
160,Featherlight,Fantasy,LanternBird_Character_BP_C
162,Forest Titan,Titans,ForestKaiju_Character_BP_C
165,Gallimimus,Dinosaurs,Galli_Character_BP_C
167,Gasbags,Fantasy,GasBags_Character_BP_C
168,Giant Bee,Invertebrates,Bee_Character_BP_C
169,Giant Queen Bee,Invertebrates,Bee_Queen_Character_BP_C
170,Giganotosaurus,Dinosaurs,Gigant_Character_BP_C
